Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
"The Tsongkhapa Triad: Embodiments of Wisdom, Compassion & Enlightenment",84 TKBP,$4261.50,$4735.00,Available,https://nidhiratna.com/products/the-tsongkhapa-triad-enlightenment,2025-06-10
Arya Tara Green Tara Statue | Himalayan Spiritual Art,85 GTBP,$6390.00,$7100.00,Available,https://nidhiratna.com/products/arya-tara-green-tara-statue-himalayan-spiritual-art,2025-06-10
Green Tara: The Compassionate Guardian,86 GTBP,,,Sold Out,https://nidhiratna.com/products/green-tara-statue-mother-tara,2025-06-10
Divine Manjushri Statue,MSBP 90,$9270.00,$10300.00,Available,https://nidhiratna.com/products/divine-manjushri-statue,2025-06-10
The Mighty Garuda: Mythical Bird of Legend,93 MGDR,$121.50,$135.00,Available,https://nidhiratna.com/products/the-mighty-garuda-mythical-bird,2025-06-10
Vajrayogini: The Divine Consort of Enlightenment,94 MVYR,,,Sold Out,https://nidhiratna.com/products/vajrayogini-the-divine-consort-statue,2025-06-10
Chakrasamvara: The Embodiment of Bliss and Emptiness,95 MCKR,$373.50,$415.00,Available,https://nidhiratna.com/products/chakrasamvara-the-embodiment-of-bliss-and-emptiness,2025-06-10
Chenrezig Bodhisattva Statue,CHBP 96,$1039.50,$1155.00,Available,https://nidhiratna.com/products/chenrezig-bodhisattva-statue,2025-06-10
The Thousand- Armed Chenrezig: Manifestation of Compassionate Wisdom,CHBP 97,$2637.00,$2930.00,Available,https://nidhiratna.com/products/the-thousand-armed-chenrezig-statue,2025-06-10
White Tara: Goddess of Compassion and Longevity,WTBP 98,$1030.50,$1145.00,Available,https://nidhiratna.com/products/white-tara-goddess-of-compassion-and-longevity,2025-06-10
Vajrasattva: Purification and Enlightenment,VSBP 99,,,Sold Out,https://nidhiratna.com/products/vajrasattva-purification-and-enlightenment,2025-06-10
Amitayus: Fountain of Infinite Life and Boundless Compassion,100 ATBP,$1044.00,$1160.00,Available,https://nidhiratna.com/products/fountain-of-infinite-life-statues,2025-06-10
Radiant Vajrayogini Statue,91 MVYR,$355.50,$395.00,Available,https://nidhiratna.com/products/radiant-vajrayogini-statue,2025-06-10
Majestic Dorje Drolo Statue,MDDR 92,,,Sold Out,https://nidhiratna.com/products/majestic-dorje-drolo-statue,2025-06-10
Green Tara: Goddess of Compassion and Swift Protection,GTBP 101,,,Sold Out,https://nidhiratna.com/products/green-tara-statue-gold-statues-in-buddhist,2025-06-10
Amitabha Buddha: Radiant Symbol of Infinite Light & Boundless Compassion,102 ABBP,$949.50,$1055.00,Available,https://nidhiratna.com/products/infinite-light-and-boundless-compassion-amitabha-buddha,2025-06-10
White Tara: Embodiment of Serenity and Wisdom,WTBP 103,$850.50,$945.00,Available,https://nidhiratna.com/products/white-tara-embodiment-of-serenity-and-wisdom,2025-06-10
Buddha Sakyamuni: Enlightened One of the Sakya,BSBP 104,$949.50,$1055.00,Available,https://nidhiratna.com/products/buddha-sakyamuni-enlightened-statue,2025-06-10
Green Tara: Goddess of Compassion,GTBP 124,,,Sold Out,https://nidhiratna.com/products/green-tara-goddess-of-compassion-statue,2025-06-10
