Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Eternal Light: Exploring the Amitabha Buddha Statue,ABBP 76,$2400.00,$3000.00,Available,https://nidhiratna.com/products/amitabha-buddhha-statue-beacon-of-compassion,2025-06-06
Emerald Grace: The Green Tara Statue,77 GTBP,,,Sold Out,https://nidhiratna.com/products/green-tara-ststue-emerald-grace,2025-06-06
Vajrakilaya: The Thunderbolt of Enlightenment,78 VKBP,$1588.00,$1985.00,Available,https://nidhiratna.com/products/78-vajrakilaya-thunderbolt-statue,2025-06-06
Guru Rinpoche: The Padmasambhava Teachings,79 GRBP,$748.00,$935.00,Available,https://nidhiratna.com/products/guru-rinpoche-padmasambhava-statue-in-gold,2025-06-06
Trilogy of Enlightenment: The Three Buddha Set,80 TBSBP,,,Sold Out,https://nidhiratna.com/products/trilogy-of-enlightenment-the-three-buddha-set-statue,2025-06-06
Dzambhala Statue: Manifesting Wealth and Prosperity,81 DZBP,$1272.00,$1590.00,Available,https://nidhiratna.com/products/dzambhala-statue-kuber-wealth-deity,2025-06-06
Purifying Light: The Vajrasattva Statue,82 VSBP,$760.00,$950.00,Available,https://nidhiratna.com/products/purifying-light-the-vajrasattva-statue,2025-06-06
Regal Serenity: The Crowned Shakyamuni Buddha,CBSBP 83,$880.00,$1100.00,Available,https://nidhiratna.com/products/regal-serenity-the-crowned-shakyamuni-buddha,2025-06-06
"The Tsongkhapa Triad: Embodiments of Wisdom, Compassion & Enlightenment",84 TKBP,$3788.00,$4735.00,Available,https://nidhiratna.com/products/the-tsongkhapa-triad-enlightenment,2025-06-06
Arya Tara Green Tara Statue | Himalayan Spiritual Art,85 GTBP,$5680.00,$7100.00,Available,https://nidhiratna.com/products/arya-tara-green-tara-statue-himalayan-spiritual-art,2025-06-06
Green Tara: The Compassionate Guardian,86 GTBP,,,Sold Out,https://nidhiratna.com/products/green-tara-statue-mother-tara,2025-06-06
Divine Manjushri Statue,MSBP 90,$8240.00,$10300.00,Available,https://nidhiratna.com/products/divine-manjushri-statue,2025-06-06
The Mighty Garuda: Mythical Bird of Legend,93 MGDR,$108.00,$135.00,Available,https://nidhiratna.com/products/the-mighty-garuda-mythical-bird,2025-06-06
Vajrayogini: The Divine Consort of Enlightenment,94 MVYR,,,Sold Out,https://nidhiratna.com/products/vajrayogini-the-divine-consort-statue,2025-06-06
Chakrasamvara: The Embodiment of Bliss and Emptiness,95 MCKR,$332.00,$415.00,Available,https://nidhiratna.com/products/chakrasamvara-the-embodiment-of-bliss-and-emptiness,2025-06-06
Chenrezig Bodhisattva Statue,CHBP 96,$924.00,$1155.00,Available,https://nidhiratna.com/products/chenrezig-bodhisattva-statue,2025-06-06
The Thousand- Armed Chenrezig: Manifestation of Compassionate Wisdom,CHBP 97,$2344.00,$2930.00,Available,https://nidhiratna.com/products/the-thousand-armed-chenrezig-statue,2025-06-06
White Tara: Goddess of Compassion and Longevity,WTBP 98,$916.00,$1145.00,Available,https://nidhiratna.com/products/white-tara-goddess-of-compassion-and-longevity,2025-06-06
Vajrasattva: Purification and Enlightenment,VSBP 99,,,Sold Out,https://nidhiratna.com/products/vajrasattva-purification-and-enlightenment,2025-06-06
Amitayus: Fountain of Infinite Life and Boundless Compassion,100 ATBP,$928.00,$1160.00,Available,https://nidhiratna.com/products/fountain-of-infinite-life-statues,2025-06-06
Radiant Vajrayogini Statue,91 MVYR,$316.00,$395.00,Available,https://nidhiratna.com/products/radiant-vajrayogini-statue,2025-06-06
Majestic Dorje Drolo Statue,MDDR 92,,,Sold Out,https://nidhiratna.com/products/majestic-dorje-drolo-statue,2025-06-06
Green Tara: Goddess of Compassion and Swift Protection,GTBP 101,,,Sold Out,https://nidhiratna.com/products/green-tara-statue-gold-statues-in-buddhist,2025-06-06
Amitabha Buddha: Radiant Symbol of Infinite Light & Boundless Compassion,102 ABBP,$844.00,$1055.00,Available,https://nidhiratna.com/products/infinite-light-and-boundless-compassion-amitabha-buddha,2025-06-06
White Tara: Embodiment of Serenity and Wisdom,WTBP 103,$756.00,$945.00,Available,https://nidhiratna.com/products/white-tara-embodiment-of-serenity-and-wisdom,2025-06-06
Buddha Sakyamuni: Enlightened One of the Sakya,BSBP 104,$844.00,$1055.00,Available,https://nidhiratna.com/products/buddha-sakyamuni-enlightened-statue,2025-06-06
Green Tara: Goddess of Compassion,GTBP 124,,,Sold Out,https://nidhiratna.com/products/green-tara-goddess-of-compassion-statue,2025-06-06
Saraswati: Goddess of Knowledge and Wisdom,SWBP 125,$1444.00,$1805.00,Available,https://nidhiratna.com/products/saraswati-goddess-of-knowledge-and-wisdom,2025-06-06
Medicine Buddha: Healing Light of Compassionate Wisdom,MBBP 105,$756.00,$945.00,Available,https://nidhiratna.com/products/medicine-buddha-healing-buddha-statue,2025-06-06
White Tara Goddess Statue,WTBP 106,$588.00,$735.00,Available,https://nidhiratna.com/products/white-tara-goddess-statue,2025-06-06
Mitrugpa: The Imperturbable Buddha,MGBP 107,,,Sold Out,https://nidhiratna.com/products/mitrugpa-the-imperturbable-buddha,2025-06-06
White Tara: The Embodiment of Wisdom and Compassion,WTA 88,$2428.00,$3035.00,Available,https://nidhiratna.com/products/white-tara-statue-mother-tara,2025-06-06
Divine Medicine Buddha Statue,MBBP 89,$2080.00,$2600.00,Available,https://nidhiratna.com/products/divine-medicine-buddha-statue,2025-06-06
Chenrezig: The Embodiment of Compassion,CHA 87,$2476.00,$3095.00,Available,https://nidhiratna.com/products/chenrezig-statue-buddhist-statue,2025-06-06
Namgyalma: The Goddess of Longevity and Purification,NGBP 108,$756.00,$945.00,Available,https://nidhiratna.com/products/namgyalma-the-goddess-of-longevity-and-purification,2025-06-06
Green Tara: The Swift Savior and Compassionate Mother,GTBP 109,,,Sold Out,https://nidhiratna.com/products/green-tara-the-swift-savior-and-compassionate-mother,2025-06-06
Maitreya Buddha: The Future Buddha,MBBP 121,$1040.00,$1300.00,Available,https://nidhiratna.com/products/maitreya-buddha-the-future-buddha-statue,2025-06-06
The Sacred Deity Namgyalma,NGBP 122,$1444.00,$1805.00,Available,https://nidhiratna.com/products/the-sacred-deity-namgyalma-statue,2025-06-06
Chenrezig: The Embodiment of Infinite Compassion,CHBP 111,,,Sold Out,https://nidhiratna.com/products/chenrezig-the-embodiment-of-infinite-statue,2025-06-06
"Vajrasattva: The Purifier of Body, Speech, and Mind",VSBP 112,$2796.00,$3495.00,Available,https://nidhiratna.com/products/vajrasattva-the-purifier-of-body-speech-and-mind,2025-06-06
Manjushri: The Bodhisattva of Wisdom and Insight,MSBP 110,,,Sold Out,https://nidhiratna.com/products/manjushri-the-bodhisattva-of-wisddom-statue,2025-06-06
Amitayus: The Buddha of Infinite Life and Light,ATBP 113,,,Sold Out,https://nidhiratna.com/products/amitayus-the-buddha-of-infinite-life-statue,2025-06-06
Crowned Buddha Sakyamuni: The Regal Sage of Enlightenment,CBSBP 114,$1948.00,$2435.00,Available,https://nidhiratna.com/products/crowned-buddha-sakyamuni-statue,2025-06-06
Chenrezig: The Embodiment of Compassion in Tibetan Buddhism,CHBP 115,$2328.00,$2910.00,Available,https://nidhiratna.com/products/chenrezig-the-embodiment-of-compassion-statue,2025-06-06
Buddha Shakyamuni: Light of Liberation,BSBP 116,$2328.00,$2910.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-statue,2025-06-06
"Guru Rinpoche: The Second Buddha, Vajrayana Buddhism",GRBP 117,$2644.00,$3305.00,Available,https://nidhiratna.com/products/guru-rinpoche-the-second-buddha-statue,2025-06-06
Buddha Shakyamuni: The Founder of Buddhism,BSBP 126,$784.00,$980.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-gautama-buddha-statues,2025-06-06
Vajrasattva: Purification and Transformation,VSBP 127,$1108.00,$1385.00,Available,https://nidhiratna.com/products/vajrasattva-purification-deity-statue,2025-06-06
White Tara: The Compassionate Mother,WTBP 128,$604.00,$755.00,Available,https://nidhiratna.com/products/white-tara-the-compassionate-mother,2025-06-06
Manjushri: The Radiant Sage of Enlightenment,MSBP 129,,,Sold Out,https://nidhiratna.com/products/manjushri-the-radiant-sage-of-enlightenment-statue,2025-06-06
Dzambhala: Bodhisattva of Wealth and Prosperity,DZBP 130,$588.00,$735.00,Available,https://nidhiratna.com/products/dzambhala-bodhisattva-of-wealth-statue,2025-06-06
Chenrezig: The Compassionate Bodhisattva,CHBP 131,$588.00,$735.00,Available,https://nidhiratna.com/products/chenrezig-the-compassionate-bodhisattva-statue,2025-06-06
Green Tara: The Ever-Compassionate Savior,GTBP 132,,,Sold Out,https://nidhiratna.com/products/green-tara-the-ever-compassionate-savior-statue,2025-06-06
Chenrezig: The Bodhisattva of Infinite Compassion,133 CHBP,,,Sold Out,https://nidhiratna.com/products/chenrezig-the-bodhisattva-of-compassion-statues-altars,2025-06-06
Green Tara: The Divine Mother of Liberation,GTBP 134,,,Sold Out,https://nidhiratna.com/products/green-tara-the-divine-mother-statue,2025-06-06
White Tara: Goddess of Peace and Healing,WTBP 135,$588.00,$735.00,Available,https://nidhiratna.com/products/white-tara-goddess-of-peace-statue,2025-06-06
Dzambhala: Guardian of Wealth and Fortune,DZBP 136,$756.00,$945.00,Available,https://nidhiratna.com/products/dzambhala-guardian-of-wealth-and-fortune-statue,2025-06-06
Six-Armed Mahakala: Guardian of Wisdom and Protector of Devotees,SAMBP 137,$3248.00,$4060.00,Available,https://nidhiratna.com/products/six-armed-mahakala-guardian-of-wisdom-statue,2025-06-06
Dzambhala: The Wealth Bestower,DZBP 138,,,Sold Out,https://nidhiratna.com/products/dzambhala-the-wealth-bestower-statue,2025-06-06
Vajrasattva: Purification of the Mind,VSBP 139,$1276.00,$1595.00,Available,https://nidhiratna.com/products/vajrasattva-purification-of-the-mind-statue,2025-06-06
Amitabha: The Buddha of Infinite Light,ABBP 141,$764.00,$955.00,Available,https://nidhiratna.com/products/amitabha-the-buddha-of-infinite-light-statue,2025-06-06
Amitayus: The Buddha of Eternal Life,ATBP 142,$672.00,$840.00,Available,https://nidhiratna.com/products/amitayus-the-buddha-of-eternal-life-statue,2025-06-06
Buddha Shakyamuni: The One Who Achieved Enlightenment,BSBP 123,$1788.00,$2235.00,Available,https://nidhiratna.com/products/buddha-shakyamuni-statue-1,2025-06-06
Buddha Shakyamuni: The Enlightened One,BSBR 179,,,Sold Out,https://nidhiratna.com/products/buddha-shakyamuni-statue-gautama-buddha,2025-06-06
Radiant Serenity: The Golden Amitayus,ATBR 180,$1359.20,$1699.00,Available,https://nidhiratna.com/products/radiant-serenity-the-golden-amitayus-statue,2025-06-06
Wisdom's Radiance: The Manjushri Statue,MSBR 181,$1359.20,$1699.00,Available,https://nidhiratna.com/products/wisdoms-radiance-the-manjushri-statue,2025-06-06
Emerald Grace: The Statue of Green Tara,GTBR 182,$1359.20,$1699.00,Available,https://nidhiratna.com/products/emerald-grace-the-green-tara-statue,2025-06-06
Golden Radiance: The Vajrasattva Statue,VSBR 183,$1359.20,$1699.00,Available,https://nidhiratna.com/products/golden-radiance-the-vajrasattva-statue,2025-06-06
Eternal Essence: The Oxidized Copper Amitayus,ATBR 184,$1199.20,$1499.00,Available,https://nidhiratna.com/products/eternal-essence-the-oxidized-copper-amitayus-statue,2025-06-06
Eternal Compassion: The Oxidized Copper Four-Armed Chenrezig,CHBR 185,$1199.20,$1499.00,Available,https://nidhiratna.com/products/eternal-compassion-the-oxidized-copper-chenrezig,2025-06-06
Verdant Grace: The Oxidized Copper Green Tara,GTBR 186,$1199.20,$1499.00,Available,https://nidhiratna.com/products/verdant-grace-the-oxidized-copper-green-tara,2025-06-06
Transcendent Patina: The Oxidized Copper Vajrasattva,VSBR 187,$1199.20,$1499.00,Available,https://nidhiratna.com/products/transcendent-patina-the-oxidized-copper-statue,2025-06-06
"White Tara, the Goddess of Compassion and Healing",WTBR 188,$1199.20,$1499.00,Available,https://nidhiratna.com/products/white-tara-the-goddess-of-compassion-and-healing,2025-06-06
Radiant Vajrasattva Statue,VSBR 189,$1359.20,$1699.00,Available,https://nidhiratna.com/products/radiant-vajrasattva-statue,2025-06-06
White Tara: The Mother of Liberation,WTBR 190,$1359.20,$1699.00,Available,https://nidhiratna.com/products/white-tara-the-mother-of-liberation-statue,2025-06-06
Green Tara: Guardian of Compassion,GTBR 191,$1359.20,$1699.00,Available,https://nidhiratna.com/products/green-tara-guardian-of-compassion-statue,2025-06-06
Illuminated Manjushri Statue,MSBR 192,$1359.20,$1699.00,Available,https://nidhiratna.com/products/lluminated-manjushri-statue,2025-06-06
Guru Rinpoche Statue: Icon of Enlightened Compassion,GRBR 193,$1296.00,$1620.00,Available,https://nidhiratna.com/products/guru-rinpoche-statue-icon-of-enlightened-compassion,2025-06-06
Enchanting Kurukulla Statue,KKBR 194,$1016.00,$1270.00,Available,https://nidhiratna.com/products/enchanting-kurukulla-statue,2025-06-06
